Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
04/01/2010,131.18,132.97,130.85,132.45,6155300,0,1,107.0347435,108.4952725,106.765484,108.0709847,6155300
05/01/2010,131.68,131.85,130.1,130.85,6841400,0,1,107.4427125,107.5814219,106.1535305,106.765484,6841400
06/01/2010,130.68,131.49,129.81,130,5605300,0,1,106.6267745,107.2876843,105.9169085,106.0719367,5605300
07/01/2010,129.87,130.25,128.91,129.55,5840600,0,1,105.9658648,106.2759212,105.1825643,105.7047646,5840600
08/01/2010,129.07,130.9199,129.05,130.85,4197200,0,1,105.3131144,106.822518,105.2967956,106.765484,4197200
11/01/2010,131.06,131.06,128.67,129.48,5730400,0,1,106.9368309,106.9368309,104.9867392,105.6476489,5730400
12/01/2010,129.03,131.33,129,130.51,8081500,0,1,105.2804769,107.1571342,105.2559987,106.4880651,8081500
13/01/2010,130.39,131.12,129.16,130.23,6455400,0,1,106.3901525,106.9857872,105.3865488,106.2596024,6455400
14/01/2010,130.55,132.71,129.91,132.31,7111800,0,1,106.5207026,108.2831286,105.9985023,107.9567534,7111800
15/01/2010,132.03,132.89,131.089,131.78,8494400,0,1,107.7282908,108.4299974,106.9604931,107.5243063,8494400
19/01/2010,131.63,134.25,131.56,134.14,13916200,0,1,107.4019156,109.5396731,107.3447999,109.4499199,13916200
20/01/2010,130.46,131.15,128.95,130.25,15197500,0,1,106.4472682,107.0102654,105.2152018,106.2759212,15197500
21/01/2010,130.47,130.69,128.06,129,9608600,0,1,106.4554275,106.6349339,104.489017,105.2559987,9608600
22/01/2010,128.67,128.89,125.37,125.5,10088600,0,1,104.9867392,105.1662455,102.2941439,102.4002158,10088600
25/01/2010,126.33,126.895,125.71,126.12,5738500,0,1,103.0774443,103.5384493,102.5715628,102.9060973,5738500
26/01/2010,125.92,127.75,125.41,125.75,7135300,0,1,102.7429098,104.2360762,102.3267814,102.6042003,7135300
27/01/2010,125.82,126.96,125.04,126.33,8719200,0,1,102.661316,103.5914852,102.0248843,103.0774443,8719200
28/01/2010,127.03,127.04,123.05,123.75,9622200,0,1,103.6486009,103.6567603,100.4011678,100.9723244,9622200
29/01/2010,124.32,125,121.9,122.39,11571200,0,1,101.437409,101.9922468,99.4628391,99.8626487,11571200
01/02/2010,123.23,124.95,122.78,124.67,7242900,0,1,100.5480366,101.9514499,100.1808645,101.7229873,7242900
02/02/2010,124.79,125.81,123.95,125.53,5899900,0,1,101.8208998,102.6531566,101.1355119,102.4246939,5899900
03/02/2010,125.16,126.07,125.07,125.66,4177100,0,1,102.1227969,102.8653005,102.0493625,102.5307659,4177100
04/02/2010,125.19,125.44,122.9,123,9126900,0,1,102.147275,102.3512595,100.2787771,100.3603709,9126900
05/02/2010,123.04,123.72,121.83,122.97,8617000,0,1,100.3930084,100.9478462,99.40572344,100.3358927,8617000
08/02/2010,123.15,123.22,121.74,121.88,5718500,0.55,1,100.9362036,100.993577,99.78053942,99.89528622,5718500
09/02/2010,122.65,124.2,122.46,123.21,6044500,0,1,100.5263936,101.7968046,100.3706658,100.9853808,6044500
10/02/2010,122.94,123.65,122.21,122.81,5219100,0,1,100.7640834,101.3460136,100.1657608,100.6575328,5219100
11/02/2010,122.58,124.2,122.06,123.73,5089000,0,1,100.4690202,101.7968046,100.0428178,101.4115832,5089000
12/02/2010,123.01,124.05,121.61,124,8017700,0,1,100.8214568,101.6738616,99.67398882,101.6328806,8017700
16/02/2010,124.91,125.23,124.11,125.23,6777300,0,1,102.3787348,102.6410132,101.7230388,102.6410132,6777300
17/02/2010,125.5,126.53,125.21,126.33,5827400,0,1,102.8623106,103.7065192,102.6246208,103.5425952,5827400
18/02/2010,126.13,128,126,127.81,5525900,0,1,103.3786712,104.9113607,103.2721206,104.7556329,5525900
19/02/2010,127.35,128.06,126.8724,127.19,6303100,0,1,104.3786077,104.9605379,103.9871571,104.2474685,6303100
22/02/2010,127.3,127.43,126.31,126.85,3808100,0,1,104.3376267,104.4441773,103.5262028,103.9687976,3808100
23/02/2010,126.48,127.66,126,126.46,4591900,0,1,103.6655382,104.6326899,103.2721206,103.6491458,4591900
24/02/2010,127.02,128.27,126.81,127.59,4782000,0,1,104.1081331,105.1326581,103.9360128,104.5753165,4782000
25/02/2010,126.05,127.24,125.57,127.07,5658700,0,1,103.3131016,104.2884495,102.919684,104.1491141,5658700
26/02/2010,127.01,128,126.74,127.16,4784200,0,1,104.0999369,104.9113607,103.8786394,104.2228799,4784200
01/03/2010,127.5,128.83,127.47,128.57,4577700,0,1,104.5015507,105.5916453,104.4769621,105.3785441,4577700
02/03/2010,128.7,129.09,127.13,127.42,6013300,0,1,105.4850947,105.8047465,104.1982913,104.4359811,6013300
03/03/2010,127.73,128.02,126.68,126.88,6390000,0,1,104.6900633,104.9277531,103.8294622,103.9933862,6390000
04/03/2010,126.88,127.07,125.47,126.72,6032300,0,1,103.9933862,104.1491141,102.837722,103.862247,6032300
05/03/2010,127.17,127.55,127.04,127.25,6140200,0,1,104.2310761,104.5425317,104.1245255,104.2966457,6140200
08/03/2010,127.06,127.5,126.36,126.41,6199300,0,1,104.1409179,104.5015507,103.5671838,103.6081648,6199300
09/03/2010,126.27,126.29,125.2,125.55,7528800,0,1,103.493418,103.5098104,102.6164246,102.9032916,7528800
10/03/2010,125.985,126.36,125.21,125.62,6916200,0,1,103.2598263,103.5671838,102.6246208,102.960665,6916200
11/03/2010,125.71,127.81,125.71,127.6,7922200,0,1,103.0344308,104.7556329,103.0344308,104.5835127,7922200
12/03/2010,127.91,128.37,127.51,127.94,5169500,0,1,104.8375949,105.2146201,104.5097469,104.8621835,5169500
15/03/2010,127.4,128.34,127.28,127.83,4497700,0,1,104.4195887,105.1900315,104.3212343,104.7720253,4497700
16/03/2010,128,128.88,127.45,128.67,6134900,0,1,104.9113607,105.6326263,104.4605697,105.4605061,6134900
17/03/2010,128.9,128.93,127.36,127.76,6348400,0,1,105.6490187,105.6736073,104.3868039,104.7146519,6348400
18/03/2010,127.46,128.75,127.45,128.38,4954400,0,1,104.4687659,105.5260757,104.4605697,105.2228163,4954400
19/03/2010,128.84,128.93,126.78,127.71,10744300,0,1,105.5998415,105.6736073,103.9114242,104.6736709,10744300
